,Title,Year,IMDB rating,IMDB link,Rating count
107,Peep Show,2003,8.7,https://www.imdb.com/title/tt0387764/,73088.0
108,Star Trek: The Next Generation,2017,8.7,https://www.imdb.com/title/tt0092455/,148459.0
109,Mad Men,2017,8.7,https://www.imdb.com/title/tt0804503/,286798.0
110,Invincible,2021,8.7,https://www.imdb.com/title/tt6741278/,302873.0
111,Blue Eye Samurai,2023,8.7,https://www.imdb.com/title/tt13309742/,101497.0
112,Still Game,2002,8.9,https://www.imdb.com/title/tt0281491/,11083.0
113,The Simpsons,2015,8.6,https://www.imdb.com/title/tt0096697/,465565.0
114,House M.D.,2004,8.7,https://www.imdb.com/title/tt0412142/,586542.0
115,Justice League Unlimited,2004,8.7,https://www.imdb.com/title/tt6025022/,25211.0
116,Mahabharat,1988,8.9,https://www.imdb.com/title/tt0158417/,27001.0
117,The Adventures of Sherlock Holmes,1984,8.7,https://www.imdb.com/title/tt0086661/,27143.0
118,Line of Duty,2017,8.7,https://www.imdb.com/title/tt2303687/,79800.0
119,Severance,2022,8.6,https://www.imdb.com/title/tt11280740/,376523.0
120,Top Gear,2002,8.7,https://www.imdb.com/title/tt1628033/,135888.0
121,Arrested Development,2003,8.6,https://www.imdb.com/title/tt0367279/,341662.0
122,Friday Night Lights,2006,8.7,https://www.imdb.com/title/tt0758745/,78589.0
123,How to with John Wilson,2020,8.7,https://www.imdb.com/title/tt10801534/,16776.0
124,The Marvelous Mrs. Maisel,2017,8.6,https://www.imdb.com/title/tt5788792/,156807.0
125,Kôdo Giasu: Hangyaku no Rurûshu,2018,8.7,https://www.imdb.com/title/tt0994314/,100701.0
126,The Thick of It,2005,8.7,https://www.imdb.com/title/tt0459159/,29158.0
127,This Is Us,2016,8.7,https://www.imdb.com/title/tt5555260/,172952.0
128,Behzat Ç.,2010,8.8,https://www.imdb.com/title/tt1795096/,35869.0
129,Father Ted,1995,8.6,https://www.imdb.com/title/tt0111958/,47529.0
130,Ramayan,1987,9,https://www.imdb.com/title/tt0268093/,27277.0
131,Aspirants,2021,9.1,https://www.imdb.com/title/tt14392248/,317583.0
132,Adventure Time,2010,8.6,https://www.imdb.com/title/tt1305826/,130898.0
133,Hajime no Ippo,2000,8.8,https://www.imdb.com/title/tt0481256/,17030.0
134,The Boys,2019,8.6,https://www.imdb.com/title/tt1190634/,834858.0
135,Dexter,2019,8.6,https://www.imdb.com/title/tt0773262/,913762.0
136,1883,2021,8.7,https://www.imdb.com/title/tt13991232/,160412.0
137,Mr Inbetween,2018,8.7,https://www.imdb.com/title/tt7472896/,46465.0
138,The X Files,1993,8.6,https://www.imdb.com/title/tt0106179/,270573.0
139,Parks and Recreation,2009,8.6,https://www.imdb.com/title/tt1266020/,312204.0
140,Sarabhai V/S Sarabhai,2004,8.8,https://www.imdb.com/title/tt1518542/,19788.0
141,Atlanta,2020,8.6,https://www.imdb.com/title/tt4288182/,97612.0
142,Deadwood,2004,8.6,https://www.imdb.com/title/tt0348914/,127558.0
143,One Punch Man: Wanpanman,2017,8.6,https://www.imdb.com/title/tt4508902/,221589.0
144,The Crown,2017,8.6,https://www.imdb.com/title/tt4786824/,278830.0
145,Poirot,2020,8.6,https://www.imdb.com/title/tt0094525/,58232.0
146,House of Cards,2014,8.6,https://www.imdb.com/title/tt1856010/,556775.0
147,The Mandalorian,2020,8.6,https://www.imdb.com/title/tt8111088/,647278.0
148,Daredevil,2017,8.6,https://www.imdb.com/title/tt3322312/,523462.0
149,Bron/Broen,2011,8.6,https://www.imdb.com/title/tt1733785/,83799.0
150,It&apos;s a Sin,2022,8.6,https://www.imdb.com/title/tt9140342/,40487.0
151,Primal,2019,8.6,https://www.imdb.com/title/tt10332508/,28083.0
152,Mindhunter,2017,8.6,https://www.imdb.com/title/tt5290382/,390851.0
153,Lonesome Dove,1989,8.7,https://www.imdb.com/title/tt0096639/,29472.0
154,Mr. Bean,2017,8.6,https://www.imdb.com/title/tt0096657/,149551.0
155,Blackadder II,1986,8.6,https://www.imdb.com/title/tt0088484/,53537.0
156,Haikyû!!,2017,8.7,https://www.imdb.com/title/tt3398540/,51637.0
157,Shogun,2024,8.6,https://www.imdb.com/title/tt2788316/,240081.0
158,Sarangeui bulsachak,2019,8.7,https://www.imdb.com/title/tt10850932/,56929.0
159,The Offer,2022,8.6,https://www.imdb.com/title/tt13111040/,49746.0
160,Le bureau des légendes,2015,8.7,https://www.imdb.com/title/tt4063800/,18615.0
161,Pose,2018,8.6,https://www.imdb.com/title/tt7562112/,36224.0
162,El Chavo del Ocho,1973,8.7,https://www.imdb.com/title/tt0229889/,16645.0
163,The Return of Sherlock Holmes,1986,8.7,https://www.imdb.com/title/tt0090509/,15082.0
164,Yes Minister,1980,8.6,https://www.imdb.com/title/tt0080306/,18711.0
165,Stranger Things,2016,8.6,https://www.imdb.com/title/tt4574334/,1665981.0
166,Gomorrah,2021,8.6,https://www.imdb.com/title/tt2049116/,49229.0
167,The Jinx: The Life and Deaths of Robert Durst,2015,8.6,https://www.imdb.com/title/tt4299972/,58090.0
168,Greatest Events of WWII in Colour,2021,8.6,https://www.imdb.com/title/tt9103932/,13480.0
169,Blackadder the Third,1987,8.6,https://www.imdb.com/title/tt0092324/,50320.0
170,Andor,2022,8.6,https://www.imdb.com/title/tt9253284/,268125.0
171,The Penguin,2024,8.6,https://www.imdb.com/title/tt15435876/,230277.0
172,Anne with an E,2017,8.6,https://www.imdb.com/title/tt5421602/,79271.0
173,The Newsroom,2013,8.6,https://www.imdb.com/title/tt1870479/,134009.0
174,Homicide: Life on the Street,1993,8.7,https://www.imdb.com/title/tt0106028/,16928.0
175,Scavengers Reign,2023,8.6,https://www.imdb.com/title/tt21056886/,34505.0
176,Boardwalk Empire,2010,8.6,https://www.imdb.com/title/tt0979432/,216597.0
177,Critical Role,2015,9,https://www.imdb.com/title/tt4834232/,14856.0
178,Archer,2017,8.6,https://www.imdb.com/title/tt1486217/,174824.0
179,Dopesick,2021,8.6,https://www.imdb.com/title/tt9174558/,91247.0
180,Mystery Science Theater 3000,1988,8.6,https://www.imdb.com/title/tt0094517/,27541.0
181,Yeh Meri Family,2018,8.9,https://www.imdb.com/title/tt8595766/,27572.0
182,Justified,2015,8.6,https://www.imdb.com/title/tt1489428/,129550.0
183,The Bugs Bunny Show,1960,8.6,https://www.imdb.com/title/tt0053488/,37717.0
184,QI,2003,8.6,https://www.imdb.com/title/tt0380136/,35459.0
185,Kimetsu no Yaiba,2020,8.6,https://www.imdb.com/title/tt9335498/,218355.0
186,Young Justice,2017,8.6,https://www.imdb.com/title/tt1641384/,50552.0
187,Battlestar Galactica,2003,8.5,https://www.imdb.com/title/tt0314979/,84498.0
188,Dragon Ball: Doragon bôru,1986,8.5,https://www.imdb.com/title/tt0088509/,75495.0
189,Endeavour,2012,8.6,https://www.imdb.com/title/tt2701582/,37509.0
190,The Venture Bros.,2003,8.6,https://www.imdb.com/title/tt0417373/,30070.0
191,Justice League,2001,8.5,https://www.imdb.com/title/tt0275137/,56631.0
192,What We Do in the Shadows,2019,8.5,https://www.imdb.com/title/tt7908628/,125227.0
193,"Yes, Prime Minister",1986,8.6,https://www.imdb.com/title/tt0086831/,14563.0
194,Dragon Ball,2001,8.5,https://www.imdb.com/title/tt0280249/,74840.0
195,The Haunting of Hill House,2018,8.5,https://www.imdb.com/title/tt6763664/,324792.0
196,Samurai Chanpurû,2004,8.5,https://www.imdb.com/title/tt0423731/,62833.0
197,Senke nad Balkanom,2017,8.8,https://www.imdb.com/title/tt6108262/,13598.0
198,Flight of the Conchords,2007,8.5,https://www.imdb.com/title/tt0863046/,69464.0
199,The IT Crowd,2017,8.5,https://www.imdb.com/title/tt0487831/,174949.0
200,Regular Show,2024,8.6,https://www.imdb.com/title/tt1710308/,72111.0
201,The Family Man,2019,8.7,https://www.imdb.com/title/tt9544034/,111411.0
202,Detectorists,2014,8.6,https://www.imdb.com/title/tt4082744/,25489.0
203,Rocket Boys,2022,8.8,https://www.imdb.com/title/tt13868972/,20184.0
204,Coupling,2000,8.5,https://www.imdb.com/title/tt0237123/,50028.0
205,The Queen&apos;s Gambit,2020,8.5,https://www.imdb.com/title/tt10048342/,653598.0
206,Mr. Robot,2015,8.5,https://www.imdb.com/title/tt4158110/,461606.0
207,I&apos;m Alan Partridge,1997,8.6,https://www.imdb.com/title/tt0129690/,23676.0
208,Samurai Jack,2001,8.5,https://www.imdb.com/title/tt0278238/,65913.0
209,Happy Valley,2017,8.5,https://www.imdb.com/title/tt3428912/,72470.0
210,Ezel,2009,8.6,https://www.imdb.com/title/tt1534360/,42998.0
211,The Rehearsal,2022,8.5,https://www.imdb.com/title/tt10802170/,36263.0
212,Long Way Round,2004,8.6,https://www.imdb.com/title/tt0403778/,17093.0
213,Making a Murderer,2017,8.5,https://www.imdb.com/title/tt5189670/,107762.0
214,Derry Girls,2018,8.5,https://www.imdb.com/title/tt7120662/,74660.0
215,Mob Psycho 100,2018,8.5,https://www.imdb.com/title/tt5897304/,64428.0
216,Twin Peaks,2020,8.5,https://www.imdb.com/title/tt4093826/,88293.0
217,Spaced,1999,8.5,https://www.imdb.com/title/tt0187664/,60500.0
